artist,artist_summary,wiki_link
Leonardo da Vinci,"Italian polymath of the High Renaissance who was active as a painter, draughtsman, engineer, scientist, theorist, sculptor, and architect. Known for masterpieces like the Mona Lisa and The Last Supper.",https://en.wikipedia.org/wiki/Leonardo_da_Vinci
Michelangelo,"Italian sculptor, painter, architect and poet of the High Renaissance. Best known for his sculptures David and Pietà, and the ceiling of the Sistine Chapel.",https://en.wikipedia.org/wiki/Michelangelo
Raphael,"Italian painter and architect of the High Renaissance. His work is admired for its clarity of form, ease of composition, and visual achievement of the Neoplatonic ideal of human grandeur.",https://en.wikipedia.org/wiki/Raphael
Caravaggio,"Italian painter active in Rome for most of his artistic life. Known for his dramatic use of lighting and realistic depiction of human emotion and physicality.",https://en.wikipedia.org/wiki/Caravaggio
Titian,"Italian painter during the Renaissance, considered the most important member of the 16th-century Venetian school. Known for his versatile approach to painting.",https://en.wikipedia.org/wiki/Titian
Sandro Botticelli,"Italian painter of the Early Renaissance. Known for his graceful depictions of the Madonna and for masterpieces like The Birth of Venus and Primavera.",https://en.wikipedia.org/wiki/Sandro_Botticelli
Rembrandt van Rijn,"Dutch Golden Age painter, printmaker and draughtsman. Considered one of the greatest visual artists in history. Known for his innovative use of light and shadow.",https://en.wikipedia.org/wiki/Rembrandt
Johannes Vermeer,"Dutch Baroque Period painter who specialized in domestic interior scenes of middle-class life. Known for his masterful treatment of light and Girl with a Pearl Earring.",https://en.wikipedia.org/wiki/Johannes_Vermeer
Peter Paul Rubens,"Flemish artist and diplomat. Considered the most influential artist of the Flemish Baroque tradition. Known for his dynamic compositions and vibrant use of color.",https://en.wikipedia.org/wiki/Peter_Paul_Rubens
Diego Velázquez,"Spanish painter who was the leading artist in the court of King Philip IV. Regarded as one of the most important painters of the Spanish Golden Age.",https://en.wikipedia.org/wiki/Diego_Vel%C3%A1zquez
Francisco Goya,"Spanish romantic painter and printmaker. Regarded as one of the most important Spanish artists of the late 18th and early 19th centuries.",https://en.wikipedia.org/wiki/Francisco_Goya
El Greco,"Greek painter, sculptor and architect of the Spanish Renaissance. Known for his dramatically elongated figures and bold use of color.",https://en.wikipedia.org/wiki/El_Greco
Jean-Auguste-Dominique Ingres,"French Neoclassical painter. Known for his precise draftsmanship and his portraits and historical paintings.",https://en.wikipedia.org/wiki/Jean-Auguste-Dominique_Ingres
Eugène Delacroix,"French Romantic artist regarded as the leader of the French Romantic school. Known for his expressive brushstrokes and use of color.",https://en.wikipedia.org/wiki/Eug%C3%A8ne_Delacroix
Édouard Manet,"French modernist painter. One of the first 19th-century artists to paint modern life, and a pivotal figure in the transition from Realism to Impressionism.",https://en.wikipedia.org/wiki/%C3%89douard_Manet
Claude Monet,"French painter and founder of French Impressionist painting. Known for his landscape paintings and his series of Water Lilies.",https://en.wikipedia.org/wiki/Claude_Monet
Pierre-Auguste Renoir,"French artist who was a leading painter in the development of the Impressionist style. Known for his vibrant light and saturated color.",https://en.wikipedia.org/wiki/Pierre-Auguste_Renoir
Vincent van Gogh,"Dutch Post-Impressionist painter. Among the most famous and influential figures in Western art history. Known for his bold colors and emotional honesty.",https://en.wikipedia.org/wiki/Vincent_van_Gogh
Paul Cézanne,"French Post-Impressionist painter whose work laid the foundations of the transition from 19th-century Impressionism to 20th-century Cubism.",https://en.wikipedia.org/wiki/Paul_C%C3%A9zanne
Henri Matisse,"French visual artist, known for both his use of color and his fluid and original draughtsmanship. Leader of the Fauvist movement.",https://en.wikipedia.org/wiki/Henri_Matisse
Pablo Picasso,"Spanish painter, sculptor, printmaker, ceramicist and theatre designer. Co-founder of Cubism and one of the most influential artists of the 20th century.",https://en.wikipedia.org/wiki/Pablo_Picasso
Wassily Kandinsky,"Russian painter and art theorist. Credited with painting one of the first recognized purely abstract works. Pioneer of abstract art.",https://en.wikipedia.org/wiki/Wassily_Kandinsky
Edgar Degas,"French Impressionist artist famous for his pastel drawings and oil paintings. Known for his depictions of dancers, horse races, and bathers.",https://en.wikipedia.org/wiki/Edgar_Degas
Georges Seurat,"French post-Impressionist artist. Devised the painting techniques known as chromoluminarism and pointillism. Known for A Sunday Afternoon on the Island of La Grande Jatte.",https://en.wikipedia.org/wiki/Georges_Seurat
Marc Chagall,"Russian-French artist. Associated with several major artistic styles and created works in a wide range of artistic formats. Known for his dreamlike imagery.",https://en.wikipedia.org/wiki/Marc_Chagall
