artist,artist_summary,wiki_link,image_url,period,years,movement,country
Leonardo da Vinci,"Italian polymath of the High Renaissance who was active as a painter, draughtsman, engineer, scientist, theorist, sculptor, and architect. Known for the Mona Lisa and The Last Supper.",https://en.wikipedia.org/wiki/Leonardo_da_Vinci,https://commons.wikimedia.org/wiki/File:Leonardo_self.jpg#/media/File:Leonardo_da_Vinci_-_presumed_self-portrait_-_WGA12798.jpg,Renaissance,1452-1519,High Renaissance,Italy
Michelangelo,"Italian sculptor, painter, architect and poet of the High Renaissance. Known for the Sistine Chapel ceiling and the statue of David.",https://en.wikipedia.org/wiki/Michelangelo,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Miguel_%C3%81ngel%2C_por_Daniele_da_Volterra_%28detalle%29.jpg/220px-Miguel_%C3%81ngel%2C_por_Daniele_da_Volterra_%28detalle%29.jpg,Renaissance,1475-1564,High Renaissance,Italy
Raphael,"Italian painter and architect of the High Renaissance. Known for his perfection in technique and his Madonnas and large figure compositions in the Vatican.",https://en.wikipedia.org/wiki/Raphael,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Raffaello_Sanzio_-_Supposed_Self-portrait_-_WGA18637.jpg/220px-Raffaello_Sanzio_-_Supposed_Self-portrait_-_WGA18637.jpg,Renaissance,1483-1520,High Renaissance,Italy
Caravaggio,"Italian painter active in Rome for most of his artistic life. Known for his dramatic use of lighting and realistic depiction of human emotion and physicality.",https://en.wikipedia.org/wiki/Caravaggio,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Bild-Ottavio_Leoni%2C_Caravaggio.jpg/220px-Bild-Ottavio_Leoni%2C_Caravaggio.jpg,Baroque,1571-1610,Baroque,Italy
Titian,"Italian painter during the Renaissance, considered the most important member of the 16th-century Venetian school. Known for his versatile approach to painting.",https://en.wikipedia.org/wiki/Titian,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Tizian_091.jpg/220px-Tizian_091.jpg,Renaissance,1488-1576,Venetian School,Italy
Sandro Botticelli,"Italian painter of the Early Renaissance. Known for his graceful depictions of the Madonna and for masterpieces like The Birth of Venus and Primavera.",https://en.wikipedia.org/wiki/Sandro_Botticelli,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Sandro_Botticelli_083.jpg/220px-Sandro_Botticelli_083.jpg,Early Renaissance,1445-1510,Early Renaissance,Italy
Rembrandt van Rijn,"Dutch Golden Age painter, printmaker and draughtsman. Considered one of the greatest visual artists in history. Known for his innovative use of light and shadow.",https://en.wikipedia.org/wiki/Rembrandt,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Rembrandt_van_Rijn_-_Self-Portrait_-_Google_Art_Project.jpg/220px-Rembrandt_van_Rijn_-_Self-Portrait_-_Google_Art_Project.jpg,Dutch Golden Age,1606-1669,Baroque,Netherlands
Johannes Vermeer,"Dutch Baroque Period painter who specialized in domestic interior scenes of middle-class life. Known for his masterful treatment of light and Girl with a Pearl Earring.",https://en.wikipedia.org/wiki/Johannes_Vermeer,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Vermeer_van_Delft_-_Girl_with_a_Pearl_Earring_-_Google_Art_Project.jpg/220px-Vermeer_van_Delft_-_Girl_with_a_Pearl_Earring_-_Google_Art_Project.jpg,Dutch Golden Age,1632-1675,Baroque,Netherlands
Peter Paul Rubens,"Flemish artist and diplomat. Considered the most influential artist of the Flemish Baroque tradition. Known for his dynamic compositions and vibrant use of color.",https://en.wikipedia.org/wiki/Peter_Paul_Rubens,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Peter_Paul_Rubens_-_Self-Portrait_-_WGA20382.jpg/220px-Peter_Paul_Rubens_-_Self-Portrait_-_WGA20382.jpg,Baroque,1577-1640,Flemish Baroque,Flanders
Diego Velázquez,"Spanish painter who was the leading artist in the court of King Philip IV. Regarded as one of the most important painters of the Spanish Golden Age.",https://en.wikipedia.org/wiki/Diego_Vel%C3%A1zquez,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Diego_Vel%C3%A1zquez_Autorretrato_45_x_38_cm_-_Colecci%C3%B3n_Real_Academia_de_Bellas_Artes_de_San_Carlos_-_Museo_de_Bellas_Artes_de_Valencia.jpg/220px-Diego_Vel%C3%A1zquez_Autorretrato_45_x_38_cm_-_Colecci%C3%B3n_Real_Academia_de_Bellas_Artes_de_San_Carlos_-_Museo_de_Bellas_Artes_de_Valencia.jpg,Baroque,1599-1660,Spanish Baroque,Spain
